url,meta_category,meta_subCategoryContainer,meta_subCategory
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/31785/,Living room,Sofas & armchairs,Extra legs
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/39130/,Living room,Sofas & armchairs,All sofas
https://www.ikea.com/tw/zh/catalog/categories/departments/secondary_storage/18741/,Storage,Small storage,Waste sorting
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/10551/,Workspaces,,Paper & media organisers
https://www.ikea.com/tw/zh/catalog/categories/departments/laundry/20597/,Laundry,,Laundry & cleaning
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10550/,Living room,Living room storage,Storage boxes & baskets
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/16213/,Workspaces,,Bins & bags
https://www.ikea.com/tw/zh/catalog/categories/departments/small_storage/37900/,Small storage,,
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/20502/,Workspaces,Workspace lighting,Work lamps
https://www.ikea.com/tw/zh/catalog/categories/departments/lighting/20503/,Lighting,,Wall lamps
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10732/,Living room,Living room lighting,Table lamps
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/20506/,Living room,Living room lighting,Spotlights
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10803/,Living room,Living room lighting,"Shades, bases & cords"
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/20515/,Living room,Living room lighting,LED lights
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10744/,Living room,Living room lighting,LED light bulbs
https://www.ikea.com/tw/zh/catalog/categories/departments/lighting/16280/,Lighting,,Integrated lighting
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/14971/,Outdoor,,Decorative lighting
https://www.ikea.com/tw/zh/catalog/categories/departments/lighting/10731/,Lighting,,Floor lamps
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/18750/,Living room,Living room lighting,Ceiling lights
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/10736/,Bathroom,,Bathroom lighting
https://www.ikea.com/tw/zh/catalog/categories/departments/home_electronics/20826/,Home electronics,Appliances,Washing machines
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/19121/,IKEA Kitchens (PILOT),Products,Wall panels
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/20676/,IKEA Kitchens (PILOT),Products,Wall storage
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/16200/,IKEA Kitchens (PILOT),Products,Pantry
https://www.ikea.com/tw/zh/catalog/categories/departments/home_electronics/20810/,Home electronics,Appliances,Ovens
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/22957/,IKEA Kitchens (PILOT),Products,Modular kitchens
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/24261/,IKEA Kitchens (PILOT),Products,METOD Kitchen taps & sinks
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/24254/,IKEA Kitchens (PILOT),,Products
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/24255/,IKEA Kitchens (PILOT),Products,METOD interior fittings
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/10471/,IKEA Kitchens (PILOT),Products,Kitchen islands & trolleys
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/16298/,IKEA Kitchens (PILOT),Products,Knobs & handles
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/24264/,IKEA Kitchens (PILOT),Products,METOD Worktops
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_family_products/16248/,Leisure & safety products,,Travel bags & backpacks
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_family_products/24847/,Leisure & safety products,,Games & leisure
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_family_products/35775/,Leisure & safety products,,Bicycles & bicycle accessories
