URL,Category
https://www.ikea.com/gb/en/products/desks/reception-desks/,Reception desks
https://www.ikea.com/gb/en/products/desks/conference-meeting-tables/,Conference & meeting tables
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-8-12/childrens-desks-chairs-8-12/,Children's desks & chairs 8-12
https://www.ikea.com/gb/en/products/flooring/outdoor-floors/,Outdoor floors
https://www.ikea.com/gb/en/products/food-beverages/fish-seafood/,Fish & seafood
https://www.ikea.com/gb/en/products/food-beverages/meat/,Meat
https://www.ikea.com/gb/en/products/food-beverages/vegetables-side-dishes/,Vegetables & side dishes
https://www.ikea.com/gb/en/products/food-beverages/sauces-jam-condiments/,"Sauces, jam & condiments"
https://www.ikea.com/gb/en/products/food-beverages/bread-dairy/,Bread & dairy
https://www.ikea.com/gb/en/products/food-beverages/beverages/,Beverages
https://www.ikea.com/gb/en/products/food-beverages/sweets-chocolates-snacks/,"Sweets, chocolates & snacks"
https://www.ikea.com/gb/en/products/food-beverages/pastries-desserts-cookies/,"Pastries, desserts & cookies"
https://www.ikea.com/gb/en/products/indoor-gardening/indoor-growing-cultivators/,Indoor growing cultivators
https://www.ikea.com/gb/en/products/indoor-gardening/indoor-growing-accessories/,Indoor growing accessories
https://www.ikea.com/gb/en/products/kitchen-products/dishwashing-accessories/,Dishwashing accessories
https://www.ikea.com/gb/en/products/kitchen-products/kitchen-organisers-shelves/,Kitchen organisers
https://www.ikea.com/gb/en/products/kitchen-products/kitchen-islands-trolleys/,Kitchen islands & trolleys
https://www.ikea.com/gb/en/products/kitchen-products/kitchen-shelves/,Kitchen shelves
https://www.ikea.com/gb/en/products/kitchen-products/kitchen-cabinets/,Kitchen cabinets
https://www.ikea.com/gb/en/products/kitchen-products/cabinet-doors-fronts-panels/,"Cabinet doors, fronts & panels"
https://www.ikea.com/gb/en/products/kitchen-products/kitchen-taps-sinks/,Kitchen taps & sinks
https://www.ikea.com/gb/en/products/kitchen-products/worktops-worktops-accessories/,Worktops & Worktops accessories
https://www.ikea.com/gb/en/products/tools-fittings-curtain-rails/knobs-handles/,Knobs & handles
https://www.ikea.com/gb/en/products/kitchen-products/wall-panels/,Kitchen Splashbacks
https://www.ikea.com/gb/en/products/kitchen-products/modular-kitchens/,Modular kitchens
https://www.ikea.com/gb/en/products/kitchen-products/appliances/,Appliances
https://www.ikea.com/gb/en/products/laundry-cleaning-products/laundry-baskets/,Laundry baskets
https://www.ikea.com/gb/en/products/laundry-cleaning-products/ironing-boards/,Ironing boards
https://www.ikea.com/gb/en/products/laundry-cleaning-products/drying-racks/,Drying racks
https://www.ikea.com/gb/en/products/laundry-cleaning-products/cleaning-accessories/,Cleaning accessories
https://www.ikea.com/gb/en/products/ikea-family-products/bicycle-bicycle-accessories/,Bicycle & Bicycle Accessories
