url,meta_category,meta_subCategoryContainer,meta_subCategory
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10654/?icid=tw|ic|HPHDN|curtain,Living room,Living room textiles & rugs,Curtains & blinds
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20520/?icid=tw|ic|HPHDN|towel,Bathroom,Bathroom textiles,Towels
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20519/?icid=tw|ic|HPHDN|bathmad,Bathroom,Bathroom textiles,Bath mats
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10659/?icid=tw|ic|HPHDN|cushion,Living room,Living room textiles & rugs,Cushions & cushion covers
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/living_room_rugs/?icid=tw|ic|HPHDN|rug,Living room,Living room textiles & rugs,Rugs
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18730/?icid=tw|ic|HPHDN|childrentextile,Baby & children products,Children 3-7,Children's textiles
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18690/?icid=tw|ic|HPHDN|babytextile,Baby & children products,Baby,Baby textiles
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20528/?icid=tw|ic|HPHDN|blanket,Bedroom,Bedroom textiles & rugs,Blankets & throws
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18724/?icid=tw|ic|HPHDN|childrenmatress,Baby & children products,Children 3-7,Children's mattresses
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18723/?icid=tw|ic|HPHDN|childrenbed,Baby & children products,Children 3-7,Children's beds
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18682/?icid=tw|ic|HPHDN|codmatress,Baby & children products,Baby,Cot mattresses
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18755/?icid=tw|ic|HPHDN|cod,Baby & children products,Baby,Cots
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20527/?icid=tw|ic|HPHDN|bedspread,Bedroom,Bedroom textiles & rugs,Bedspreads
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/10651/?icid=tw|ic|HPHDN|bedding,Bedroom,Bedroom textiles & rugs,Bed linen
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20529/?icid=tw|ic|HPHDN|duvet,Bedroom,Bedroom textiles & rugs,Quilts
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20533/?icid=tw|ic|HPHDN|pillow,Bedroom,Bedroom textiles & rugs,Pillows
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/Mattresses/?icid=tw|ic|HPHDN|matress,Bedroom,,Mattresses
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/24824/?icid=tw|ic|HPHDN|matressprotector,Bedroom,Mattresses,Mattress & pillow protectors
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/19039/?icid=tw|ic|HPHDN|bunkbed,Bedroom,Beds,Loft beds & bunk beds
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/16284/?icid=tw|ic|HPHDN|doublebed,Bedroom,Beds,Double beds
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/16285/?icid=tw|ic|HPHDN|singlebed,Bedroom,Beds,Single beds
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/16309/?icid=tw|ic|HPHDN|deholi,,,
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10768/?icid=tw|ic|HPHDN|dega,Decoration,,"Plants, plant pots & stands"
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/10551/?icid=tw|ic|HPHDN|magazine,Workspaces,,Paper & media organisers
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/25227/?icid=tw|ic|HPHDN|desta,Decoration,,Paper shop
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10759/?icid=tw|ic|HPHDN|declo,Decoration,,Clocks
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10769/?icid=tw|ic|HPHDN|deva,Decoration,,Vases & bowls
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10760/?icid=tw|ic|HPHDN|decan,Decoration,,Candle holders & candles
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20489/?icid=tw|ic|HPHDN|demir,Bedroom,,Mirrors
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10757/?icid=tw|ic|HPHDN|dephoto,Decoration,,Frames & pictures
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/?icid=tw|ic|HPHDN|decorationall,Decoration,,
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/20560/?icid=tw|ic|HPHDN|napkin,Eating,,Napkins & napkin holders
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/20538/?icid=tw|ic|HPHDN|tableclothe,Textiles & rugs,,Table linen
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/16043/?icid=tw|ic|HPHDN|tray,Eating,,Serveware
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15937/?icid=tw|ic|HPHDN|foodstorage,Cooking,,Food storage & organising
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/16044/?icid=tw|ic|HPHDN|coffeemaker,Eating,,Coffee & tea
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/18860/?icid=tw|ic|HPHDN|bowls,Eating,,Dinnerware
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/18865/?icid=tw|ic|HPHDN|diningware,Eating,,Cutlery
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/?icid=tw|ic|HPHDN|diningall,Eating,,
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18715/?icid=tw|ic|HPHDN|highchair,Baby & children products,Baby,Highchairs
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18733/?icid=tw|ic|HPHDN|juniorchair,Baby & children products,Children 3-7,Junior chairs
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/20542/?icid=tw|ic|HPHDN|cushion,Textiles & rugs,,Table linen
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/16244/?icid=tw|ic|HPHDN|barchair,Dining,,Bar tables & chairs
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/25222/?icid=tw|ic|HPHDN|foldablechair,Dining,,Dining chairs
https://www.ikea.com/tw/zh/catalog/categories/departments/hallway/10728/?icid=tw|ic|HPHDN|stool,Hallway,,Stools & benches
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/19145/?icid=tw|ic|HPHDN|diningchairset,Dining,,Dining sets
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/25219/?icid=tw|ic|HPHDN|diningchair,Dining,,Dining chairs
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/21825/?icid=tw|ic|HPHDN|diningtable,Dining,,Dining tables
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/20652/?icid=tw|ic|HPHDN|officechair,Workspaces,,Office chairs
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/10712/?icid=tw|ic|HPHDN|legs,Workspaces,,Desks & tables
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/20649/?icid=tw|ic|HPHDN|desk,Workspaces,Desks & tables,Desks & computer desks
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20656-2/?icid=tw|ic|HPHDN|bedsidetable,Bedroom,Bedroom storage,Bedside tables
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_family_products/16248/?icid=tw|ic|HPHDN|travel,Leisure & safety products,,Travel bags & backpacks
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10705/?icid=tw|ic|HPHDN|coffeetable,Living room,,Coffee & side tables
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10768/?icid=tw|ic|HPHDN|ga,Decoration,,"Plants, plant pots & stands"
https://www.ikea.com/tw/zh/catalog/categories/departments/secondary_storage/16292/?icid=tw|ic|HPHDN|tool,Storage,,Tools & fittings
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/?icid=tw|ic|HPHDN|od,Outdoor,,
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15938/?icid=tw|ic|HPHDN|kitchenclean,Cooking,,Dish-washing accessories
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15927/?icid=tw|ic|HPHDN|cookingdevice,Cooking,Cookware,Cooking accessories
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/24261/?icid=tw|ic|HPHDN|kitap,IKEA Kitchens (PILOT),Products,METOD Kitchen taps & sinks
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/16298/?icid=tw|ic|HPHDN|kihd,IKEA Kitchens (PILOT),Products,Knobs & handles
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/24255/?icid=tw|ic|HPHDN|kitchenstorage,IKEA Kitchens (PILOT),Products,METOD interior fittings
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/20676/?icid=tw|ic|HPHDN|kiboom,IKEA Kitchens (PILOT),Products,Wall storage
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/22957/?icid=tw|ic|HPHDN|systemkitchen,IKEA Kitchens (PILOT),Products,Modular kitchens
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/10471/?icid=tw|ic|HPHDN|kiisland,IKEA Kitchens (PILOT),Products,Kitchen islands & trolleys
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15938/?icid=tw|ic|HPHDN|kitchebclean,Cooking,,Dish-washing accessories
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/18850/?icid=tw|ic|HPHDN|apron,Cooking,,Kitchen textiles
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/20636/?icid=tw|ic|HPHDN|baking,Cooking,,Bakeware
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/20647/?icid=tw|ic|HPHDN|cookingtools,Cooking,,Kitchen utensils
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/20624/?icid=tw|ic|HPHDN|pan,Cooking,Cookware,Frying pans & woks
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/20633/?icid=tw|ic|HPHDN|pot,Cooking,Cookware,Pots & sauce pans
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/?icid=tw|ic|HPHDN|cookingall,Cooking,,
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10550/?icid=tw|ic|HPHDN|organizer,Living room,Living room storage,Storage boxes & baskets
https://www.ikea.com/tw/zh/catalog/categories/departments/hallway/10398/?icid=tw|ic|HPHDN|wallshelve,Hallway,,Wall shelves
https://www.ikea.com/tw/zh/catalog/categories/departments/secondary_storage/16213/?icid=tw|ic|HPHDN|trash,Storage,Small storage,Bins & bags
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/16200/?icid=tw|ic|HPHDN|kitchenshelve,IKEA Kitchens (PILOT),Products,Pantry
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20802/?icid=tw|ic|HPHDN|bathroomshelve,Bathroom,,Bathroom storage
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/10412/?icid=tw|ic|HPHDN|sideboard,Dining,,Dining storage
https://www.ikea.com/tw/zh/catalog/categories/departments/hallway/10454/?icid=tw|ic|HPHDN|shoerack,Hallway,Clothes & shoe storage,"Shoe, coat & hat racks"
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20724/?icid=tw|ic|HPHDN|batap,Bathroom,,Taps
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20723/?icid=tw|ic|HPHDN|babasin,Bathroom,,Wash-basins
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20490/?icid=tw|ic|HPHDN|bamir,Bathroom,,Bathroom mirrors
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/?icid=tw|ic|HPHDN|bathall,Bathroom,,
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20719/?icid=tw|ic|HPHDN|bawashstand,Bathroom,,Wash-stands
https://www.ikea.com/tw/zh/catalog/categories/departments/laundry/20597/?icid=tw|ic|HPHDN|laundry,Laundry,,Laundry & cleaning
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/10452/?icid=tw|ic|HPHDN|clothesorganizer,Bedroom,Bedroom storage,Clothes organisers
https://www.ikea.com/tw/zh/catalog/categories/departments/hallway/10455/?icid=tw|ic|HPHDN|clotherack,Hallway,Clothes & shoe storage,Racks & stands
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/10451/?icid=tw|ic|HPHDN|drawer,Bedroom,Bedroom storage,Chests of drawers
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/16274/?icid=tw|ic|HPHDN|hanger,Bedroom,Bedroom storage,Hooks & hangers
https://www.ikea.com/tw/zh/catalog/categories/departments/secondary_storage/35768/?icid=tw|ic|HPHDN|openwardrobe,Storage,,Open clothes & shoe storage system
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/19086/?icid=tw|ic|HPHDN|systemwardrobe,Bedroom,,Bedroom storage
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/19053/?icid=tw|ic|HPHDN|wardrobes,Bedroom,Bedroom storage,Wardrobes
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18773/?icid=tw|ic|HPHDN|childlight,Baby & children products,Baby,Children's lighting
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/16249/?icid=tw|ic|HPHDN|childsecure,Baby & children products,Baby,Safety
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/20475/?icid=tw|ic|HPHDN|childrensysfurniture,Baby & children products,Baby,Small storage
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18835/?icid=tw|ic|HPHDN|stuva,Baby & children products,,Baby
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18706/?icid=tw|ic|HPHDN|chistore,Baby & children products,Baby,Storage furniture
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/children/?icid=tw|ic|HPHDN|child,Baby & children products,,Children 3-7
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/baby/?icid=tw|ic|HPHDN|baby,Baby & children products,,Baby
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10664/?icid=tw|ic|HPHDN|sofacover,Living room,Sofas & armchairs,Extra covers
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/20926/?icid=tw|ic|HPHDN|stool,Living room,Sofas & armchairs,Footstools & pouffes
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/16239/?icid=tw|ic|HPHDN|armsofa,Living room,Sofas & armchairs,Armchairs & chaise longues
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/16238/?icid=tw|ic|HPHDN|modularsofas,Living room,Sofas & armchairs,Modular sofas
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10663/?icid=tw|ic|HPHDN|sofabed,Living room,Sofas & armchairs,Sofa-beds
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10662/?icid=tw|ic|HPHDN|leathersofa,Living room,Sofas & armchairs,Leather & coated fabric sofas
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10661/?icid=tw|ic|HPHDN|fabricsofa,Living room,Sofas & armchairs,Fabric sofas
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15934/?icid=tw|ic|HPHDN|knife,Cooking,,Knives & chopping boards
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15937/?icid=tw|ic|HPHDN|jars,Cooking,,Food storage & organising
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15928/?icid=tw|ic|HPHDN|ovenware,Cooking,,Ovenware
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/18868/?icid=tw|ic|HPHDN|glassware,Eating,,Glassware & jugs
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/children_8_12/?icid=tw|ic|HPHDN|olderchild,Baby & children products,,Children 8-12
